,name,seqname
0,Atherix,Atherix_124299
1,Tetanocera,Tetanocera_320959
2,Phytomyza,Phytomyza_132616
3,Mycetophila,Mycetophila_397146
4,Borophaga,Borophaga_712093
5,Clunio,Clunio_315556
6,Discocerina,Discocerina_745181
7,Bradysia,Bradysia_35571
8,Berkshiria,Berkshiria_2061012
9,Centrophlebomyia,Centrophlebomyia_1603419
10,Trypocalliphora,Trypocalliphora_1042207
11,Dicranota,Dicranota_700836
12,Coremacera,Coremacera_1226614
13,Heterocheila,Heterocheila_169481
14,Mystacinobia,Mystacinobia_81694
15,Pipiza,Pipiza_221788
16,Sphecapatodes,Sphecapatodes_2021536
17,Thecophora,Thecophora_305546
18,Epistrophe,Epistrophe_414810
19,Paucispinigera,Paucispinigera_903463
20,Braula,Braula_305561
21,Eumerus,Eumerus_224220
22,Mesembrina,Mesembrina_116147
23,Tetanops,Tetanops_454640
24,Norellia,Norellia_113119
25,Thaumatomyia,Thaumatomyia_333800
26,Fergusonina,Fergusonina_156411
27,Mochlonyx,Mochlonyx_1577622
28,Hypoderma,Hypoderma_7388
29,Chamaemyia,Chamaemyia_305621
30,Mallota,Mallota_535942
31,Medetera,Medetera_377527
32,Liopiophila,Liopiophila_1603421
33,Ectophasia,Ectophasia_569037
34,Megaselia,Megaselia_36165
35,Limonia,Limonia_52743
36,Haematopota,Haematopota_124311
37,Ptecticus,Ptecticus_343648
38,Dinera,Dinera_569035
39,Neomyia,Neomyia_305607
40,Lasiopogon,Lasiopogon_219536
41,Syrphus,Syrphus_224255
42,Gasterophilus,Gasterophilus_84524
43,Eginia,Eginia_1511678
44,Hippelates,Hippelates_540866
45,Hesperinus,Hesperinus_1086788
46,Brachyopa,Brachyopa_1637464
47,Helcomyza,Helcomyza_169476
48,Acletoxenus,Acletoxenus_462271
49,Pentaneura,Pentaneura_891922
50,Agromyza,Agromyza_414290
51,Eupeodes,Eupeodes_290403
52,Calycomyza,Calycomyza_414293
53,Mischoderus,Mischoderus_560267
54,Olbiogaster,Olbiogaster_560768
55,Ephydra,Ephydra_504564
56,Tricimba,Tricimba_540889
57,Dryomyza,Dryomyza_169444
58,Atrichopogon,Atrichopogon_209702
59,Japanagromyza,Japanagromyza_414298
60,Calobata,Calobata_1820059
61,Apocephalus,Apocephalus_117252
62,Simulium,Simulium_7191
63,Amenia,Amenia_2086281
64,Melanagromyza,Melanagromyza_286470
65,Wohlfahrtia,Wohlfahrtia_128961
66,Chelifera,Chelifera_369889
67,Chlorops,Chlorops_540892
68,Physocephala,Physocephala_198643
69,Aphroteniella,Aphroteniella_646259
70,Mintho,Mintho_1918277
71,Hybomitra,Hybomitra_124690
72,Psila,Psila_305548
73,Pseudacteon,Pseudacteon_378799
74,Silba,Silba_198646
75,Catachlorops,Catachlorops_1547373
76,Hebecnema,Hebecnema_559682
77,Sycorax,Sycorax_114592
78,Scatopse,Scatopse_1520324
79,Eulonchus,Eulonchus_210230
80,Hammerschmidtia,Hammerschmidtia_226171
81,Cecidomyia,Cecidomyia_1543682
82,Cleonice,Cleonice_1918224
83,Elgiva,Elgiva_320938
84,Exeretonevra,Exeretonevra_560723
85,Lauterborniella,Lauterborniella_288850
86,Odontoloxozus,Odontoloxozus_588320
87,Hippobosca,Hippobosca_452745
88,Chrysops,Chrysops_27458
89,Ateloglossa,Ateloglossa_1890907
90,Tanypeza,Tanypeza_1692486
91,Scaptomyza,Scaptomyza_7298
92,Dasiops,Dasiops_286456
93,Geomyza,Geomyza_305619
94,Gymnocarena,Gymnocarena_28597
95,Coboldia,Coboldia_170624
96,Acrocera,Acrocera_210245
97,Dioctria,Dioctria_468720
98,Plecia,Plecia_1260898
99,Rhinoestrus,Rhinoestrus_204922
100,Blepharomyia,Blepharomyia_179434
101,Gnophomyia,Gnophomyia_700845
102,Terellia,Terellia_28615
103,Lucilia,Lucilia_7374
104,Hedria,Hedria_320941
105,Aedes,Aedes_7158
106,Rhagoletis,Rhagoletis_28609
107,Neossos,Neossos_2268121
108,Cuterebra,Cuterebra_170896
109,Curtonotum,Curtonotum_1262296
110,Ocyptamus,Ocyptamus_369855
111,Temnostoma,Temnostoma_226164
112,Epicypta,Epicypta_397117
113,Anastrepha,Anastrepha_28585
114,Phaonia,Phaonia_253431
115,Pholeomyia,Pholeomyia_1720804
116,Alliopsis,Alliopsis_1692454
117,Nephrotoma,Nephrotoma_46210
118,Leptomorphus,Leptomorphus_560729
119,Vibrissina,Vibrissina_179525
120,Cheilosia,Cheilosia_173981
121,Machimus,Machimus_247604
122,Hermetia,Hermetia_343581
123,Palpomyia,Palpomyia_1525500
124,Toxomerus,Toxomerus_115327
125,Mallophora,Mallophora_270862
126,Opomyza,Opomyza_716643
127,Lasiomma,Lasiomma_95464
128,Tanyptera,Tanyptera_2108371
129,Blondelia,Blondelia_179437
130,Helius,Helius_700865
131,Sepedon,Sepedon_320954
132,Archytas,Archytas_198637
133,Neurochaeta,Neurochaeta_716624
134,Nemoraea,Nemoraea_170911
135,Hypocera,Hypocera_940227
136,Chrysopilus,Chrysopilus_124301
137,Cryptochetum,Cryptochetum_1262333
138,Melangyna,Melangyna_414825
139,Ablabesmyia,Ablabesmyia_46216
140,Symmerus,Symmerus_560780
141,Rivellia,Rivellia_28633
142,Tabanus,Tabanus_7206
143,Aulogastromyia,Aulogastromyia_1824990
144,Cetema,Cetema_540891
145,Oxycera,Oxycera_860348
146,Bibio,Bibio_189978
147,Copromyza,Copromyza_1217530
148,Desmometopa,Desmometopa_305587
149,Icterica,Icterica_28599
150,Goniops,Goniops_428065
151,Neorhynchocephalus,Neorhynchocephalus_259248
152,Laneella,Laneella_1658054
153,Scatophila,Scatophila_1763968
154,Pachylophus,Pachylophus_1990794
155,Periscelis,Periscelis_716628
156,Metachela,Metachela_369884
157,Quametopia,Quametopia_1603285
158,Prionocera,Prionocera_1690388
159,Blepharicera,Blepharicera_547808
160,Axymyia,Axymyia_560715
161,Epichlorops,Epichlorops_540897
162,Euryomma,Euryomma_1650677
163,Macrocera,Macrocera_608727
164,Clusia,Clusia_574057
165,Macquartia,Macquartia_1918266
166,Diadocidia,Diadocidia_560721
167,Anthomyiopsis,Anthomyiopsis_1918198
168,Leucophenga,Leucophenga_7329
169,Micropeza,Micropeza_1572561
170,Huascaromusca,Huascaromusca_1609532
171,Leptocera,Leptocera_1614654
172,Clausicella,Clausicella_1718822
173,Tvetenia,Tvetenia_611398
174,Anthomyia,Anthomyia_259845
175,Orthacheta,Orthacheta_113181
176,Blaesoxipha,Blaesoxipha_128953
177,Procanace,Procanace_1262322
178,Copestylum,Copestylum_511142
179,Paranthomyza,Paranthomyza_500298
180,Crataerina,Crataerina_452743
181,Penthetria,Penthetria_560770
182,Scenopinus,Scenopinus_247599
183,Oreoleptis,Oreoleptis_1262318
184,Scoliocentra,Scoliocentra_1823605
185,Ainuyusurika,Ainuyusurika_1165747
186,Chaetopsis,Chaetopsis_240871
187,Mydaea,Mydaea_559689
188,Sylvicola,Sylvicola_52753
189,Ditomyia,Ditomyia_1520322
190,Milichiella,Milichiella_1890919
191,Incertella,Incertella_540867
192,Cistudinomyia,Cistudinomyia_2173397
193,Cacoxenus,Cacoxenus_462273
194,Coenomyia,Coenomyia_124305
195,Nephrocerus,Nephrocerus_115303
196,Dictya,Dictya_1096051
197,Metriocnemus,Metriocnemus_137497
198,Metalimnobia,Metalimnobia_700851
199,Nemotelus,Nemotelus_343582
200,Euleia,Euleia_28591
201,Gaurax,Gaurax_540862
202,Cobboldia,Cobboldia_2583773
203,Drino,Drino_179459
204,Ophiomyia,Ophiomyia_341050
205,Leucotabanus,Leucotabanus_1969939
206,Scholastes,Scholastes_1902237
207,Penicillidia,Penicillidia_81721
208,Fannia,Fannia_95468
209,Stenomicra,Stenomicra_716630
210,Urophora,Urophora_28620
211,Lipoptena,Lipoptena_170902
212,Basilia,Basilia_170889
213,Eumesembrinella,Eumesembrinella_672472
214,Pamponerus,Pamponerus_1717601
215,Diopsis,Diopsis_139667
216,Esenbeckia,Esenbeckia_124297
217,Mesembrinella,Mesembrinella_460529
218,Pelina,Pelina_1086796
219,Nothomicrodon,Nothomicrodon_1857748
220,Pelidnoptera,Pelidnoptera_1096074
221,Rhinophora,Rhinophora_670625
222,Vermileo,Vermileo_124333
223,Loxocera,Loxocera_34684
224,Eristalis,Eristalis_198633
