Unnamed: 0,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,section,cohort
0,Muscina,Muscina,OTT,genus,Muscina,100,573702,57892,OTT,573702,Muscina,573702.0,Muscina,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Azeliinae,Reinwardtiini,,Muscina_57892,Schizophora,Holometabola
1,Ainuyusurika,Ainuyusurika,OTT,genus,Ainuyusurika,100,606050,1165747,OTT,606050,Ainuyusurika,606050.0,Ainuyusurika,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Chironomini,,Ainuyusurika_1165747,,Holometabola
2,Clusiodes,Clusiodes,OTT,genus,Clusiodes,100,133900,500306,OTT,133900,Clusiodes,133900.0,Clusiodes,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Clusiidae,,,,Clusiodes_500306,Schizophora,Holometabola
3,Chamaemyia,Chamaemyia,OTT,genus,Chamaemyia,100,267777,305621,OTT,267777,Chamaemyia,267777.0,Chamaemyia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Lauxanioidea,Chamaemyiidae,,,,Chamaemyia_305621,Schizophora,Holometabola
4,Paraplatypeza,Paraplatypeza,OTT,genus,Paraplatypeza,100,652770,192442,OTT,652770,Paraplatypeza,652770.0,Paraplatypeza,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Platypezoidea,Platypezidae,Platypezinae,,,Paraplatypeza_192442,Aschiza,Holometabola
5,Pteromicra,Pteromicra,OTT,genus,Pteromicra,100,572032,1226622,OTT,572032,Pteromicra,572032.0,Pteromicra,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sciomyzidae,,,,Pteromicra_1226622,Schizophora,Holometabola
6,Tabanus,Tabanus,OTT,genus,Tabanus,100,555816,7206,OTT,555816,Tabanus,555816.0,Tabanus,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Tabaninae,Tabanini,,Tabanus_7206,,Holometabola
7,Phaonia,Phaonia,OTT,genus,Phaonia,100,268220,253431,OTT,268220,Phaonia,268220.0,Phaonia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Phaoniinae,,,Phaonia_253431,Schizophora,Holometabola
8,Antocha,Antocha,OTT,genus,Antocha,100,331983,454619,OTT,331983,Antocha,331983.0,Antocha,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Tipulomorpha,Tipuloidea,Limoniidae,Limoniinae,,,Antocha_454619,,Holometabola
9,Apatolestes,Apatolestes,OTT,genus,Apatolestes,100,4454590,428062,OTT,4454590,Apatolestes,4454590.0,Apatolestes,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Pangoniinae,Pangoniini,,Apatolestes_428062,,Holometabola
