,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,cohort,section
0,Sargus,Sargus,OTT,genus,Sargus,100,340298,343647,OTT,340298,Sargus,340298,Sargus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Stratiomyomorpha,,Stratiomyidae,Sarginae,,,Sargus_343647,Holometabola,
1,Phyllodromia,Phyllodromia,OTT,genus,Phyllodromia,100,4345156,1209097,OTT,4345156,Phyllodromia,4345156,Phyllodromia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Empidoidea,Empididae,Hemerodromiinae,,,Phyllodromia_1209097,Holometabola,
2,Mystacinobia,Mystacinobia,OTT,genus,Mystacinobia,100,606363,81694,OTT,606363,Mystacinobia,606363,Mystacinobia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Mystacinobiidae,,,,Mystacinobia_81694,Holometabola,Schizophora
3,Mochlonyx,Mochlonyx,OTT,genus,Mochlonyx,100,4479470,1577622,OTT,4479470,Mochlonyx,4479470,Mochlonyx,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Culicomorpha,Culicoidea,Chaoboridae,Chaoborinae,,,Mochlonyx_1577622,Holometabola,
4,Aedes,Aedes,OTT,genus,Aedes,100,269669,7158,OTT,269669,Aedes,269669,Aedes,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Culicomorpha,Culicoidea,Culicidae,Culicinae,Aedini,,Aedes_7158,Holometabola,
5,Bombylius,Bombylius,OTT,genus,Bombylius,100,376338,219362,OTT,376338,Bombylius,376338,Bombylius,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Bombyliidae,Bombyliinae,,,Bombylius_219362,Holometabola,
6,Phyto,Phyto,OTT,genus,Phyto,100,21720,1262320,OTT,21720,Phyto,21720,Phyto,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,,,,Phyto_1262320,Holometabola,Schizophora
7,Heterocheila,Heterocheila,OTT,genus,Heterocheila,100,26530,169481,OTT,26530,Heterocheila,26530,Heterocheila,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Heterocheilidae,,,,Heterocheila_169481,Holometabola,Schizophora
8,Megaselia,Megaselia,OTT,genus,Megaselia,100,436666,36165,OTT,436666,Megaselia,436666,Megaselia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,Metopininae,Megaseliini,,Megaselia_36165,Holometabola,Aschiza
9,Oestrus,Oestrus,OTT,genus,Oestrus,100,582017,123736,OTT,582017,Oestrus,582017,Oestrus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Oestridae,Oestrinae,,,Oestrus_123736,Holometabola,Schizophora
