tip_name,family,subfamily,genus,species,additional_identifiers
Glossina_morsitans,NA,NA,Glossina,morsitans,NA
Mesembrina_meridiana,NA,NA,Mesembrina,meridiana,NA
Cordilura,NA,NA,Cordilura,NA,NA
Triarthria_setipennis,NA,NA,Triarthria,setipennis,NA
Pollenia,NA,NA,Pollenia,NA,NA
Stomorhina_subapicalis,NA,NA,Stomorhina,subapicalis,NA
Calliphora_vomitoria,NA,NA,Calliphora,vomitoria,NA
Sarcophaga_bullata,NA,NA,Sarcophaga,bullata,NA
Derocephalus_angusticollis,NA,NA,Derocephalus,angusticollis,NA
Micropeza_corrigiolata,NA,NA,Micropeza,corrigiolata,NA
Ceratitis_capitata,NA,NA,Ceratitis,capitata,NA
Zacompsia_fulva,NA,NA,Zacompsia,fulva,NA
Piophila_australis,NA,NA,Piophila,australis,NA
Strongylophthalmyia,NA,NA,Strongylophthalmyia,NA,NA
Meroplius_fasciculatus,NA,NA,Meroplius,fasciculatus,NA
Acartophthalmus_nigrinus,NA,NA,Acartophthalmus,nigrinus,NA
Loxocera_cylindrica,NA,NA,Loxocera,cylindrica,NA
Opomyza_germinationis,NA,NA,Opomyza,germinationis,NA
Archimicrodon_brachycerus,NA,NA,Archimicrodon,brachycerus,NA
Eristalis_pertinax,NA,NA,Eristalis,pertinax,NA
Lonchoptera_bifurcata,NA,NA,Lonchoptera,bifurcata,NA
Megaselia_abdita,NA,NA,Megaselia,abdita,NA
Platypeza_anthrax,NA,NA,Platypeza,anthrax,NA
Meghyperus,NA,NA,Meghyperus,NA,NA
Hilarini,NA,NA,Hilarini,NA,NA
Stilpon_pauciseta,NA,NA,Stilpon,pauciseta,NA
Heteropsilopus_ingenuus,NA,NA,Heteropsilopus,ingenuus,NA
Nephrocerus_atrapilus,NA,NA,Nephrocerus,atrapilus,NA
Pseudodinia_antennalis,NA,NA,Pseudodinia,antennalis,NA
Stylogaster,NA,NA,Stylogaster,NA,NA
Helcomyza_mirabilis,NA,NA,Helcomyza,mirabilis,NA
Coelopa_frigida,NA,NA,Coelopa,frigida,NA
Sapromyza_sciomyzina,NA,NA,Sapromyza,sciomyzina,NA
Limnia_unguicornis,NA,NA,Limnia,unguicornis,NA
Myopa,NA,NA,Myopa,NA,NA
Leptocera_erythrocera,NA,NA,Leptocera,erythrocera,NA
Diplogeomyza_tridens,NA,NA,Diplogeomyza,tridens,NA
Tapeigaster_digitata,NA,NA,Tapeigaster,digitata,NA
Syringogaster_plesioterga,NA,NA,Syringogaster,plesioterga,NA
Teleopsis_dalmanni,NA,NA,Teleopsis,dalmanni,NA
Leiomyza_laevigata,NA,NA,Leiomyza,laevigata,NA
Mumetopia_occipitalis,NA,NA,Mumetopia,occipitalis,NA
Australimyza_mcalpinei,NA,NA,Australimyza,mcalpinei,NA
Dasyrhicnoessa_insularis,NA,NA,Dasyrhicnoessa,insularis,NA
Nemo_dayi,NA,NA,Nemo,dayi,NA
Lipara_lucens,NA,NA,Lipara,lucens,NA
Scutops,NA,NA,Scutops,NA,NA
Aulacigaster_mcalpinei,NA,NA,Aulacigaster,mcalpinei,NA
Fergusonina_omlandi,NA,NA,Fergusonina,omlandi,NA
Carnus_hemapterus,NA,NA,Carnus,hemapterus,NA
Odinia_conspicua,NA,NA,Odinia,conspicua,NA
Melanagromyza,NA,NA,Melanagromyza,NA,NA
Scatella_tenuicosta,NA,NA,Scatella,tenuicosta,NA
Curtonotum,NA,NA,Curtonotum,NA,NA
Diastata_repleta,NA,NA,Diastata,repleta,NA
Cryptochetum,NA,NA,Cryptochetum,NA,NA
D_busckii,NA,NA,D,busckii,NA
D_virilis,NA,NA,D,virilis,NA
Drosophila_melanogaster,NA,NA,Drosophila,melanogaster,NA
Chymomyza_costata,NA,NA,Chymomyza,costata,NA
Braula_coeca,NA,NA,Braula,coeca,NA
Phortica_variegata,NA,NA,Phortica,variegata,NA
Stegana,NA,NA,Stegana,NA,NA
Ortholfersia_macleayi,NA,NA,Ortholfersia,macleayi,NA
