tip_name,genus,ncbi_genus_id,ncbi_family_id,ncbi_family_name,superfamily,subsection,infraorder,suborder
Apiocera_160270,Apiocera,160270,50678Ê,Apioceridae,Asiloidea,NA,Asilomorpha,Brachycera
Philonicus_247567,Philonicus,247567,50673,Asilidae,Asiloidea,NA,Asilomorpha,Brachycera
Dioctria_468720,Dioctria,468720,50673,Asilidae,Asiloidea,NA,Asilomorpha,Brachycera
Promachus_247552,Promachus,247552,50673,Asilidae,Asiloidea,NA,Asilomorpha,Brachycera
Machimus_247604,Machimus,247604,50673,Asilidae,Asiloidea,NA,Asilomorpha,Brachycera
Lasiopogon_219536,Lasiopogon,219536,50673,Asilidae,Asiloidea,NA,Asilomorpha,Brachycera
Pamponerus_1717601,Pamponerus,1717601,50673,Asilidae,Asiloidea,NA,Muscomorpha,Brachycera
Laphria_50683,Laphria,50683,50673,Asilidae,Asiloidea,NA,Muscomorpha,Brachycera
Mallophora_270862,Mallophora,270862,50673,Asilidae,Asiloidea,NA,Muscomorpha,Brachycera
Systoechus_1690390,Systoechus,1690390,50674,Bombyliidae,Asiloidea,NA,Muscomorpha,Brachycera
Bombylius_219362,Bombylius,219362,50674,Bombyliidae,Asiloidea,NA,Muscomorpha,Brachycera
Anthrax_117078,Anthrax,117078,50674,Bombyliidae,Asiloidea,NA,Muscomorpha,Brachycera
Ligyra_117088,Ligyra,117088,50674,Bombyliidae,Asiloidea,NA,Muscomorpha,Brachycera
Mydas_186100,Mydas,186100,50677,Mydidae,Asiloidea,NA,Muscomorpha,Brachycera
Scenopinus_247599,Scenopinus,247599,50675,Scenopinidae,Asiloidea,NA,Muscomorpha,Brachycera
Thereva_95078,Thereva,95078,50676,Therevidae,Asiloidea,NA,Muscomorpha,Brachycera
Dolichopus_192427,Dolichopus,192427,92558,Dolichopodidae,Empidoidea,NA,Muscomorpha,Brachycera
Medetera_377527,Medetera,377527,92558,Dolichopodidae,Empidoidea,NA,Muscomorpha,Brachycera
Rhaphium_377528,Rhaphium,377528,92558,Dolichopodidae,Empidoidea,NA,Muscomorpha,Brachycera
Rhamphomyia_192612,Rhamphomyia,192612,92557,Empididae,Empidoidea,NA,Muscomorpha,Brachycera
Neoplasta_192640,Neoplasta,192640,92557,Empididae,Empidoidea,NA,Muscomorpha,Brachycera
Phyllodromia_1209097,Phyllodromia,1209097,92557,Empididae,Empidoidea,NA,Muscomorpha,Brachycera
