,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,Unnamed: 0,tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers,section,cohort,species group,subgenus,species subgroup,genus
0,Liriomyza sativae,Liriomyza sativae,OTT,species,Liriomyza sativae,100,246452,127406,OTT,246452,Liriomyza,587945.0,127403,sativae,246452.0,127406,Liriomyza sativae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,,,0,Liriomyza_sativae_AG1433_4372_308,,,,,Liriomyza,sativae,AG1433_4372_308,Schizophora,Holometabola,,,,
1,Braula coeca,Braula coeca,OTT,species,Braula coeca,100,26327,305562,OTT,26327,Braula,26329.0,305561,coeca,26327.0,305562,Braula coeca,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Carnoidea,Braulidae,,,,1,Braula_coeca_Braula_coeca_GDDH01_1_5741_317,,,,,Braula,coeca,Braula_coeca_GDDH01_1_5741_317,Schizophora,Holometabola,,,,
2,Braula coeca,Braula coeca,OTT,species,Braula coeca,100,26327,305562,OTT,26327,Braula,26329.0,305561,coeca,26327.0,305562,Braula coeca,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Carnoidea,Braulidae,,,,2,Braula_coeca_I6794_507_280,,,,,Braula,coeca,I6794_507_280,Schizophora,Holometabola,,,,
3,Leucophenga varia,Leucophenga varia,OTT,species,Leucophenga varia,100,765416,745178,OTT,765416,Leucophenga,586407.0,7329,varia,765416.0,745178,Leucophenga varia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Steganinae,Steganini,Leucophengina,3,Leucophenga_varia_L_varia_4359_279_assm.augustus,,,,,Leucophenga,varia,L_varia_4359_279_assm.augustus,Schizophora,Holometabola,,,,
4,Leucophenga maculata,Leucophenga maculata,OTT,species,Leucophenga maculata,100,742404,30051,OTT,742404,Leucophenga,586407.0,7329,maculata,742404.0,30051,Leucophenga maculata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Steganinae,Steganini,Leucophengina,4,Leucophenga_maculata_leucma_323_264,,,,,Leucophenga,maculata,leucma_323_264,Schizophora,Holometabola,maculata group,,,
5,Leucophenga albofasciata,Leucophenga albofasciata,OTT,species,Leucophenga albofasciata,100,614352,504595,OTT,614352,Leucophenga,586407.0,7329,albofasciata,614352.0,504595,Leucophenga albofasciata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Steganinae,Steganini,Leucophengina,5,Leucophenga_albofasciata_LeucalRG_102_93,,,,,Leucophenga,albofasciata,LeucalRG_102_93,Schizophora,Holometabola,proxima group,,,
6,Phortica variegata,Phortica variegata,OTT,species,Phortica variegata,100,545916,462259,OTT,545916,Phortica,314172.0,462262,variegata,545916.0,462259,Phortica variegata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Steganinae,Gitonini,Gitonina,6,Phortica_variegata_2016_5749_318,,,,,Phortica,variegata,2016_5749_318,Schizophora,Holometabola,,Phortica subgenus Phortica,,
7,Cacoxenus australicus,Cacoxenus australicus,OTT,species,Cacoxenus australicus,100,4421977,,OTT,4421977,Cacoxenus,302197.0,462273,australicus,4421977.0,,Cacoxenus australicus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Steganinae,Gitonini,Gitonina,7,Cacoxenus_australicus_cacoxRG_87_52,,,,,Cacoxenus,australicus,cacoxRG_87_52,Schizophora,Holometabola,,,,
8,Stegana,Stegana,OTT,genus,Stegana,100,451827,188292,OTT,451827,Stegana,451827.0,,,,,Stegana,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Steganinae,Steganini,Steganina,8,Stegana_sp_stegsp06_Stegana_sp_GIFG01_1_5560_319,,,,,Stegana,,stegsp06_Stegana_sp_GIFG01_1_5560_319,Schizophora,Holometabola,,,,
9,Chymomyza costata,Chymomyza costata,OTT,species,Chymomyza costata,100,305192,76946,OTT,305192,Chymomyza,930769.0,7292,costata,305192.0,76946,Chymomyza costata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Colocasiomyini,,9,Chymomyza_costata_C_costata_5230_297.augustus,,,,,Chymomyza,costata,C_costata_5230_297.augustus,Schizophora,Holometabola,costata group,,,
