,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers,notes,section,cohort
0,Achaetorisa,Achaetorisa,OTT,genus,Achaetorisa,100,4424094,,OTT,4424094,Achaetorisa,4424094.0,,,,,Achaetorisa,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,,Archaetorsa_sp_1_I6792_933_268,,,,,Archaetorsa,,I6792_933_268,name was mispelled,Schizophora,Holometabola
1,Cyrtosiinae,Cyrtosiinae,OTT,subfamily,Cyrtosiinae,100,791932,50690,OTT,791932,,,,,,,Cyrtosiinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Bombyliidae,,Cyrtosiini_gen_sp_Bombyliidae_B,,Bombyliidae,Cyrtosiini,,,,,updated to subfamily,,Holometabola
2,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Coloforia_grandiosa_Therevidae_A,,Therevidae,,,Coloforia,grandiosa,,updated to family,,Holometabola
3,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_nubilosa_Therevidae_A,,Therevidae,,,Calophytus,nubilosa,,updated to family,,Holometabola
4,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_matilei_Therevidae_A,,Therevidae,,,Calophytus,matilei,,updated to family,,Holometabola
5,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_chazeaui_Therevidae_A,,Therevidae,,,Calophytus,chazeaui,,updated to family,,Holometabola
6,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_webbi_Therevidae_A,,Therevidae,,,Calophytus,webbi,,updated to family,,Holometabola
7,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_sp_Therevidae_A,,Therevidae,,,Calophytus,,,updated to family,,Holometabola
8,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_superbus_Therevidae_A,,Therevidae,,,Pyrromannia,superbus,,updated to family,,Holometabola
9,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_actensis_Therevidae_A,,Therevidae,,,Pyrromannia,actensis,,updated to family,,Holometabola
10,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_carnarvoni_Therevidae_A,,Therevidae,,,Pyrromannia,carnarvoni,,updated to family,,Holometabola
11,Ectinorhynchus,Ectinorhynchus,OTT,genus,Ectinorhynchus,100,447823,99790,OTT,447823,Ectinorhynchus,447823.0,,,,,Ectinorhynchus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Therevinae,Ectinorhynchus_phyciformis_Therevidae_A,,Therevidae,,,Ectinorhynchus,phyciformis,,updated to genus,,Holometabola
12,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Tianarinha_cracentis_Therevidae_A,,Therevidae,,,Tianarinha,cracentis,,updated to family,,Holometabola
13,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Leptothereva_sp_Therevidae_A,,Therevidae,,,Leptothereva,,,updated to family,,Holometabola
14,Ruppellia,Ruppellia,OTT,genus,Ruppellia,100,545287,95102,OTT,545287,Ruppellia,545287.0,,,,,Ruppellia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Phycinae,Ruppellia_multisetosis_Therevidae_A,,Therevidae,,,Ruppellia,multisetosis,,updated to family,,Holometabola
