tip_name,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,cohort,infraclass,superorder,order,suborder,infraorder,section,superfamily,family,subfamily,tribe,subtribe,species group,subgenus,species subgroup,notes
Liriomyza_sativae_AG1433_4372_308,Liriomyza sativae,Liriomyza sativae,OTT,species,Liriomyza sativae,100,246452,127406,OTT,246452,Liriomyza,587945,127403,sativae,246452,127406,Liriomyza sativae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Opomyzoidea,Agromyzidae,Phytomyzinae,,,,,,
Braula_coeca_Braula_coeca_GDDH01_1_5741_317,Braula coeca,Braula coeca,OTT,species,Braula coeca,100,26327,305562,OTT,26327,Braula,26329,305561,coeca,26327,305562,Braula coeca,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Braulidae,,,,,,,superfamily manually updated
Braula_coeca_I6794_507_280,Braula coeca,Braula coeca,OTT,,Braula coeca,100,26327,305562,OTT,26327,,26329,305561,,26327,305562,Braula coeca,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Braulidae,,,,,,,superfamily manually updated
Leucophenga_varia_L_varia_4359_279_assm.augustus,Leucophenga varia,Leucophenga varia,OTT,species,Leucophenga varia,100,765416,745178,OTT,765416,Leucophenga,586407,7329,varia,765416,745178,Leucophenga varia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Drosophilidae,Steganinae,Steganini,Leucophengina,,,,
Leucophenga_maculata_leucma_323_264,Leucophenga maculata,Leucophenga maculata,OTT,species,Leucophenga maculata,100,742404,30051,OTT,742404,Leucophenga,586407,7329,maculata,742404,30051,Leucophenga maculata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Drosophilidae,Steganinae,Steganini,Leucophengina,maculata group,,,
Leucophenga_albofasciata_LeucalRG_102_93,Leucophenga albofasciata,Leucophenga albofasciata,OTT,species,Leucophenga albofasciata,100,614352,504595,OTT,614352,Leucophenga,586407,7329,albofasciata,614352,504595,Leucophenga albofasciata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Drosophilidae,Steganinae,Steganini,Leucophengina,proxima group,,,
Phortica_variegata_2016_5749_318,Phortica variegata,Phortica variegata,OTT,species,Phortica variegata,100,545916,462259,OTT,545916,Phortica,314172,462262,variegata,545916,462259,Phortica variegata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Drosophilidae,Steganinae,Gitonini,Gitonina,,Phortica subgenus Phortica,,
Cacoxenus_australicus_cacoxRG_87_52,Cacoxenus australicus,Cacoxenus australicus,OTT,species,Cacoxenus australicus,100,4421977,,OTT,4421977,Cacoxenus,302197,462273,australicus,4421977,,Cacoxenus australicus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Drosophilidae,Steganinae,Gitonini,Gitonina,,,,
Stegana_sp_stegsp06_Stegana_sp_GIFG01_1_5560_319,Stegana,Stegana,OTT,genus,Stegana,100,451827,188292,OTT,451827,Stegana,451827,,,,,Stegana,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Drosophilidae,Steganinae,Steganini,Steganina,,,,
Chymomyza_costata_C_costata_5230_297.augustus,Chymomyza costata,Chymomyza costata,OTT,species,Chymomyza costata,100,305192,76946,OTT,305192,Chymomyza,930769,7292,costata,305192,76946,Chymomyza costata,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,Schizophora,Ephydroidea,Drosophilidae,Drosophilinae,Colocasiomyini,,costata group,,,
