tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers
Liriomyza_sativae_AG1433_4372_308,,,,,Liriomyza,sativae,AG1433_4372_308
Braula_coeca_Braula_coeca_GDDH01_1_5741_317,,,,,Braula,coeca,Braula_coeca_GDDH01_1_5741_317
Braula_coeca_I6794_507_280,,,,,Braula,coeca,I6794_507_280
Leucophenga_varia_L_varia_4359_279_assm.augustus,,,,,Leucophenga,varia,L_varia_4359_279_assm.augustus
Leucophenga_maculata_leucma_323_264,,,,,Leucophenga,maculata,leucma_323_264
Leucophenga_albofasciata_LeucalRG_102_93,,,,,Leucophenga,albofasciata,LeucalRG_102_93
Phortica_variegata_2016_5749_318,,,,,Phortica,variegata,2016_5749_318
Cacoxenus_australicus_cacoxRG_87_52,,,,,Cacoxenus,australicus,cacoxRG_87_52
Stegana_sp_stegsp06_Stegana_sp_GIFG01_1_5560_319,,,,,Stegana,,stegsp06_Stegana_sp_GIFG01_1_5560_319
Chymomyza_costata_C_costata_5230_297.augustus,,,,,Chymomyza,costata,C_costata_5230_297.augustus
Drosophila_melanogaster_I3863_5211_318,,,,,Drosophila,melanogaster,I3863_5211_318
Mycodrosophila_sp_I4190_2492_314,,,,,Mycodrosophila,,I4190_2492_314
Cryptochetum_sp_Cryptochetum_sp_cry04_GIGU01_1_5420_317,,,,,Cryptochetum,,Cryptochetum_sp_cry04_GIGU01_1_5420_317
Cryptochetum_sp_I6797_3213_307,,,,,Cryptochetum,,I6797_3213_307
Curtonotum_sp_Curtonotum_sp_curtcr05_GIFF01_1_5360_307,,,,,Curtonotum,,Curtonotum_sp_curtcr05_GIFF01_1_5360_307
Curtonotum_pantherinum_cupaRG_78_67,,,,,Curtonotum,pantherinum,cupaRG_78_67
Cyrtona_riversmoori_cyriRG_623_294,,,,,Cyrtona,riversmoori,cyriRG_623_294
Cyrtona_fluctuosa_cyflRG_299_213,,,,,Cyrtona,fluctuosa,cyflRG_299_213
Diastata_repleta_DiastataBC_5449_316_012_supertranscripts,,,,,Diastata,repleta,DiastataBC_5449_316_012_supertranscripts
Diastata_fuscula_I6799_1601_310,,,,,Diastata,fuscula,I6799_1601_310
Campichoeta_punctatum_I6795_3217_315,,,,,Campichoeta,punctatum,I6795_3217_315
Camilla_sp2_I3845_1286_311,,,,,Camilla,,I3845_1286_311
Camilla_sp_camspRG_319_239,,,,,Camilla,,camspRG_319_239
Mormotomyia_hirsuta_I3857_1264_307,,,,,Mormotomyia,hirsuta,I3857_1264_307
Cirrula_hiansall_Cirr_5568_312,,,,,Cirrula,hiansall,Cirr_5568_312
Scatella_tenuicosta_Scatella_tenuicosta_GCFE01_1_5070_305,,,,,Scatella,tenuicosta,Scatella_tenuicosta_GCFE01_1_5070_305
Coenia_palustris_I3850_1034_310,,,,,Coenia,palustris,I3850_1034_310
Philygria_sp_I4191_332_190,,,,,Philygria,,I4191_332_190
Athyroglossa_sp_I4186_1150_289,,,,,Athyroglossa,,I4186_1150_289
Archaetorsa_sp_1_I6792_933_268,,,,,Archaetorsa,,I6792_933_268
Risa_longirostris_I4192_230_145,,,,,Risa,longirostris,I4192_230_145
Clanoneurum_sp_I4188_689_257,,,,,Clanoneurum,,I4188_689_257
Psilopa_polita_I6800_493_237,,,,,Psilopa,polita,I6800_493_237
Sarcophaga_bullata_I6803_2665_316,,,,,Sarcophaga,bullata,I6803_2665_316
Cuterebra_atrox_I6804_2118_290,,,,,Cuterebra,atrox,I6804_2118_290
Exorista_larvorum_I6806_1460_313,,,,,Exorista,larvorum,I6806_1460_313
Delia_radicum_I6805_768_298,,,,,Delia,radicum,I6805_768_298
Azorastia_mediterraneana_azmed3RG_565_257,,,,,Azorastia,mediterraneana,azmed3RG_565_257
Rivellia_syngenesiae_I6807_2402_310,,,,,Rivellia,syngenesiae,I6807_2402_310
Ceratitis_capitata_I6808_753_296,,,,,Ceratitis,capitata,I6808_753_296
Carnus_hemapterus_Carnus3_5248_313,,,,,Carnus,hemapterus,Carnus3_5248_313
Meoneura_sp_mecolRG_597_280,,,,,Meoneura,,mecolRG_597_280
Odinia_conspicua_Odin_4844_308,,,,,Odinia,conspicua,Odin_4844_308
Chordonota_sp_CB0436_Stratiomyidae_S,,Stratiomyidae,,,Chordonota,,CB0436
Leucoptilum_sp_CB0326_Stratiomyidae_S,,Stratiomyidae,,,Leucoptilum,,CB0326
Ditylometopa_elegans_Stratiomyidae_S,,Stratiomyidae,,,Ditylometopa,elegans,
Euryneura_propinqua_Stratiomyidae_S,,Stratiomyidae,,,Euryneura,propinqua,
Diaphorostylus_nasica_Stratiomyidae_S,,Stratiomyidae,,,Diaphorostylus,nasica,
Cf__Euryneura_sp_CB0427_Stratiomyidae_S,,Stratiomyidae,,,Cf__Euryneura,,CB0427
Dieuryneura_stigma_Stratiomyidae_S,,Stratiomyidae,,,Dieuryneura,stigma,
Dysbiota_parvula_Stratiomyidae_S,,Stratiomyidae,,,Dysbiota,parvula,
Lagenosoma_sp_CB0403_Stratiomyidae_S,,Stratiomyidae,,,Lagenosoma,,CB0403
Auloceromyia_sp_CB0435_Stratiomyidae_S,,Stratiomyidae,,,Auloceromyia,,CB0435
Ampsalis_terminalis_CB0401_Stratiomyidae_S,,Stratiomyidae,,,Ampsalis,terminalis,CB0401
Adoxomyia_bistriata_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,bistriata,
Nigritomyia_consobrina_Stratiomyidae_S,,Stratiomyidae,,,Nigritomyia,consobrina,
Nigritomyia_loewii_Stratiomyidae_S,,Stratiomyidae,,,Nigritomyia,loewii,
Adoxomyia_regularis_CB0428_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,regularis,CB0428
Clitellaria_ephippium_Stratiomyidae_S,,Stratiomyidae,,,Clitellaria,ephippium,
Adoxomyia_rustica_CB0316_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,rustica,CB0316
Adoxomyia_sp_CB0419_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,,CB0419
Hedriodiscus_binotatus_Stratiomyidae_S,,Stratiomyidae,,,Hedriodiscus,binotatus,
Stratiomyidae_S_sp_ESB_2006_Stratiomyidae_S,,Stratiomyidae,,,Stratiomyidae_S_sp,,ESB_2006
Stratiomys_laticeps_CB0319_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,laticeps,CB0319
Odontomyia_occidentalis_Stratiomyidae_S,,Stratiomyidae,,,Odontomyia,occidentalis,
Euparyphus_pardalinus_Stratiomyidae_S,,Stratiomyidae,,,Euparyphus,pardalinus,
Euparyphus_sp_CB0429_Stratiomyidae_S,,Stratiomyidae,,,Euparyphus,,CB0429
Myxosargus_knowltoni_Stratiomyidae_S,,Stratiomyidae,,,Myxosargus,knowltoni,
Raphiocera_ornata_CB0406_Stratiomyidae_S,,Stratiomyidae,,,Raphiocera,ornata,CB0406
Histiodroma_sp_CB0301_Stratiomyidae_S,,Stratiomyidae,,,Histiodroma,,CB0301
Lasiopa_balius_Stratiomyidae_S,,Stratiomyidae,,,Lasiopa,balius,
Alopecuroceras_coloratum_Stratiomyidae_S,,Stratiomyidae,,,Alopecuroceras,coloratum,
Stratiomys_longicorni_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,longicorni,
Stratiomys_ruficornis_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,ruficornis,
Stratiomys_potamida_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,potamida,
Odontomyia_flavissima_Stratiomyidae_S,,Stratiomyidae,,,Odontomyia,flavissima,
Oplodontha_viridula_Stratiomyidae_S,,Stratiomyidae,,,Oplodontha,viridula,
Prosopochrysa_vitripennis_Stratiomyidae_S,,Stratiomyidae,,,Prosopochrysa,vitripennis,
Oxycera_marginata_Stratiomyidae_S,,Stratiomyidae,,,Oxycera,marginata,
Oxycera_pardalina_Stratiomyidae_S,,Stratiomyidae,,,Oxycera,pardalina,
Hermionella_seguyi_Stratiomyidae_S,,Stratiomyidae,,,Hermionella,seguyi,
Oxycera_trilineata_Stratiomyidae_S,,Stratiomyidae,,,Oxycera,trilineata,
Nemotelus_cingulatus_Stratiomyidae_S,,Stratiomyidae,,,Nemotelus,cingulatus,
Antissa_sp_SLW_2002_Stratiomyidae_S,,Stratiomyidae,,,Antissa,,SLW_2002
