,tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers,name
0,Liriomyza_sativae_AG1433_4372_308,,,,,Liriomyza,sativae,AG1433_4372_308,Liriomyza sativae
1,Braula_coeca_Braula_coeca_GDDH01_1_5741_317,,,,,Braula,coeca,Braula_coeca_GDDH01_1_5741_317,Braula coeca
2,Braula_coeca_I6794_507_280,,,,,Braula,coeca,I6794_507_280,Braula coeca
3,Leucophenga_varia_L_varia_4359_279_assm.augustus,,,,,Leucophenga,varia,L_varia_4359_279_assm.augustus,Leucophenga varia
4,Leucophenga_maculata_leucma_323_264,,,,,Leucophenga,maculata,leucma_323_264,Leucophenga maculata
5,Leucophenga_albofasciata_LeucalRG_102_93,,,,,Leucophenga,albofasciata,LeucalRG_102_93,Leucophenga albofasciata
6,Phortica_variegata_2016_5749_318,,,,,Phortica,variegata,2016_5749_318,Phortica variegata
7,Cacoxenus_australicus_cacoxRG_87_52,,,,,Cacoxenus,australicus,cacoxRG_87_52,Cacoxenus australicus
8,Stegana_sp_stegsp06_Stegana_sp_GIFG01_1_5560_319,,,,,Stegana,,stegsp06_Stegana_sp_GIFG01_1_5560_319,Stegana
9,Chymomyza_costata_C_costata_5230_297.augustus,,,,,Chymomyza,costata,C_costata_5230_297.augustus,Chymomyza costata
10,Drosophila_melanogaster_I3863_5211_318,,,,,Drosophila,melanogaster,I3863_5211_318,Drosophila melanogaster
11,Mycodrosophila_sp_I4190_2492_314,,,,,Mycodrosophila,,I4190_2492_314,Mycodrosophila
12,Cryptochetum_sp_Cryptochetum_sp_cry04_GIGU01_1_5420_317,,,,,Cryptochetum,,Cryptochetum_sp_cry04_GIGU01_1_5420_317,Cryptochetum
13,Cryptochetum_sp_I6797_3213_307,,,,,Cryptochetum,,I6797_3213_307,Cryptochetum
14,Curtonotum_sp_Curtonotum_sp_curtcr05_GIFF01_1_5360_307,,,,,Curtonotum,,Curtonotum_sp_curtcr05_GIFF01_1_5360_307,Curtonotum
15,Curtonotum_pantherinum_cupaRG_78_67,,,,,Curtonotum,pantherinum,cupaRG_78_67,Curtonotum pantherinum
16,Cyrtona_riversmoori_cyriRG_623_294,,,,,Cyrtona,riversmoori,cyriRG_623_294,Cyrtona riversmoori
17,Cyrtona_fluctuosa_cyflRG_299_213,,,,,Cyrtona,fluctuosa,cyflRG_299_213,Cyrtona fluctuosa
18,Diastata_repleta_DiastataBC_5449_316_012_supertranscripts,,,,,Diastata,repleta,DiastataBC_5449_316_012_supertranscripts,Diastata repleta
19,Diastata_fuscula_I6799_1601_310,,,,,Diastata,fuscula,I6799_1601_310,Diastata fuscula
20,Campichoeta_punctatum_I6795_3217_315,,,,,Campichoeta,punctatum,I6795_3217_315,Campichoeta punctatum
21,Camilla_sp2_I3845_1286_311,,,,,Camilla,,I3845_1286_311,Camilla
22,Camilla_sp_camspRG_319_239,,,,,Camilla,,camspRG_319_239,Camilla
23,Mormotomyia_hirsuta_I3857_1264_307,,,,,Mormotomyia,hirsuta,I3857_1264_307,Mormotomyia hirsuta
24,Cirrula_hiansall_Cirr_5568_312,,,,,Cirrula,hiansall,Cirr_5568_312,Cirrula hiansall
25,Scatella_tenuicosta_Scatella_tenuicosta_GCFE01_1_5070_305,,,,,Scatella,tenuicosta,Scatella_tenuicosta_GCFE01_1_5070_305,Scatella tenuicosta
26,Coenia_palustris_I3850_1034_310,,,,,Coenia,palustris,I3850_1034_310,Coenia palustris
27,Philygria_sp_I4191_332_190,,,,,Philygria,,I4191_332_190,Philygria
28,Athyroglossa_sp_I4186_1150_289,,,,,Athyroglossa,,I4186_1150_289,Athyroglossa
29,Archaetorsa_sp_1_I6792_933_268,,,,,Archaetorsa,,I6792_933_268,Archaetorsa
30,Risa_longirostris_I4192_230_145,,,,,Risa,longirostris,I4192_230_145,Risa longirostris
31,Clanoneurum_sp_I4188_689_257,,,,,Clanoneurum,,I4188_689_257,Clanoneurum
32,Psilopa_polita_I6800_493_237,,,,,Psilopa,polita,I6800_493_237,Psilopa polita
33,Sarcophaga_bullata_I6803_2665_316,,,,,Sarcophaga,bullata,I6803_2665_316,Sarcophaga bullata
34,Cuterebra_atrox_I6804_2118_290,,,,,Cuterebra,atrox,I6804_2118_290,Cuterebra atrox
35,Exorista_larvorum_I6806_1460_313,,,,,Exorista,larvorum,I6806_1460_313,Exorista larvorum
36,Delia_radicum_I6805_768_298,,,,,Delia,radicum,I6805_768_298,Delia radicum
37,Azorastia_mediterraneana_azmed3RG_565_257,,,,,Azorastia,mediterraneana,azmed3RG_565_257,Azorastia mediterraneana
38,Rivellia_syngenesiae_I6807_2402_310,,,,,Rivellia,syngenesiae,I6807_2402_310,Rivellia syngenesiae
39,Ceratitis_capitata_I6808_753_296,,,,,Ceratitis,capitata,I6808_753_296,Ceratitis capitata
40,Carnus_hemapterus_Carnus3_5248_313,,,,,Carnus,hemapterus,Carnus3_5248_313,Carnus hemapterus
41,Meoneura_sp_mecolRG_597_280,,,,,Meoneura,,mecolRG_597_280,Meoneura
42,Odinia_conspicua_Odin_4844_308,,,,,Odinia,conspicua,Odin_4844_308,Odinia conspicua
