ncbi_taxid,ncbi_tax_name,ncbi_genus_id,ncbi_genus_name,ncbi_family_id,ncbi_family_name
1165748,Ainuyusurika tuberculata,1165747,Ainuyusurika,7149,Chironomidae
315576,Chironomus riparius,7150,Chironomus,7149,Chironomidae
586673,Chironomus flaviplumus,7150,Chironomus,7149,Chironomidae
2490735,Apocephalus sp. 120 JMH-2018,117252,Apocephalus,36164,Phoridae
712087,Apocephalus spinosus,117252,Apocephalus,36164,Phoridae
2067734,Apocephalus antennatus,117252,Apocephalus,36164,Phoridae
1890545,Apocephalus pergandei,117252,Apocephalus,36164,Phoridae
2322442,Apocephalus sp. BBDEE111-10,117252,Apocephalus,36164,Phoridae
2490714,Apocephalus guapilensis,117252,Apocephalus,36164,Phoridae
2490736,Apocephalus sp. 214 JMH-2018,117252,Apocephalus,36164,Phoridae
2490698,Apocephalus apivorus,117252,Apocephalus,36164,Phoridae
586676,Aedes koreicus,7158,Aedes,7157,Culicidae
2664654,Corynoptera sp. n. bs9,1260849,Corynoptera,7184,Sciaridae
1881757,Corynoptera sp. BOLD-2016,1260849,Corynoptera,7184,Sciaridae
1817630,Corynoptera subparvula,1260849,Corynoptera,7184,Sciaridae
1817629,Corynoptera perpusilla,1260849,Corynoptera,7184,Sciaridae
1260876,Corynoptera saetistyla,1260849,Corynoptera,7184,Sciaridae
1260871,Corynoptera primoriensis,1260849,Corynoptera,7184,Sciaridae
1260864,Corynoptera blanda,1260849,Corynoptera,7184,Sciaridae
1260858,Corynoptera boletiphaga,1260849,Corynoptera,7184,Sciaridae
1260857,Corynoptera subtilis,1260849,Corynoptera,7184,Sciaridae
2900359,Ditomyia macroptera,1520322,Ditomyia,1520330,Ditomyiidae
2900346,Ditomyia sp. 1 NB-2021a,1520322,Ditomyia,1520330,Ditomyiidae
1520323,Ditomyia fasciata,1520322,Ditomyia,1520330,Ditomyiidae
170625,Coboldia fuscipes,170624,Coboldia,52749,Scatopsidae
1260824,Coboldia sp. SS-2012,170624,Coboldia,52749,Scatopsidae
2334651,Scatopse sp. JWDCB352-10,1520324,Scatopse,52749,Scatopsidae
2334650,Scatopse sp. JWDCB351-10,1520324,Scatopse,52749,Scatopsidae
2334649,Scatopse sp. JWDCB350-10,1520324,Scatopse,52749,Scatopsidae
1520325,Scatopse notata,1520324,Scatopse,52749,Scatopsidae
391752,Chironomus mendax,7150,Chironomus,7149,Chironomidae
166586,Aedes flavopictus,7158,Aedes,7157,Culicidae
7264,Drosophila buzzatii,7215,Drosophila,7214,Drosophilidae
1781627,Pnyxia scabiei,1781626,Pnyxia,7184,Sciaridae
7293,Chymomyza amoena,7292,Chymomyza,7214,Drosophilidae
59308,Chymomyza procnemis,7292,Chymomyza,7214,Drosophilidae
1514689,Scaptodrosophila neozelandica,7354,Scaptodrosophila,7214,Drosophilidae
30034,Scaptodrosophila latifasciaeformis,7354,Scaptodrosophila,7214,Drosophilidae
745175,Scaptodrosophila dorsocentralis,7354,Scaptodrosophila,7214,Drosophilidae
7225,Scaptodrosophila lebanonensis,7354,Scaptodrosophila,7214,Drosophilidae
504598,Scaptodrosophila lativittata,7354,Scaptodrosophila,7214,Drosophilidae
1136918,Scaptodrosophila sp. FZ-2012,7354,Scaptodrosophila,7214,Drosophilidae
2335164,Sphaeromias sp. BBDCQ811-10,1874311,Sphaeromias,41819,Ceratopogonidae
2335163,Sphaeromias sp. BBDCP475-10,1874311,Sphaeromias,41819,Ceratopogonidae
2335162,Sphaeromias sp. BBDCN041-10,1874311,Sphaeromias,41819,Ceratopogonidae
1874469,Sphaeromias sp. 2DR,1874311,Sphaeromias,41819,Ceratopogonidae
1874470,Sphaeromias sp. 5CM,1874311,Sphaeromias,41819,Ceratopogonidae
1874312,Sphaeromias fasciatus,1874311,Sphaeromias,41819,Ceratopogonidae
2173666,Idiella sp. CCDB-31126-A06,1902146,Idiella,1902070,Rhiniidae
1912782,Idiella divisa,1902146,Idiella,1902070,Rhiniidae
2611012,Rhyncomya seguyi,670621,Rhyncomya,1902070,Rhiniidae
2583308,Rhyncomya sp. IZK02,670621,Rhyncomya,1902070,Rhiniidae
2031162,Rhyncomya sp. T636,670621,Rhyncomya,1902070,Rhiniidae
670622,Rhyncomya nigripes,670621,Rhyncomya,1902070,Rhiniidae
1240424,Rhyncomya soyauxi,670621,Rhyncomya,1902070,Rhiniidae
2659505,Lamprolonchaea sp. BOLD:AAG6989,907706,Lamprolonchaea,198645,Lonchaeidae
1858689,Dasiops calvus,286456,Dasiops,198645,Lonchaeidae
286457,Dasiops inedulis,286456,Dasiops,198645,Lonchaeidae
2364112,Lonchaea sylvatica,198649,Lonchaea,198645,Lonchaeidae
1474367,Lonchaea sp. BOLD:AAG7070,198649,Lonchaea,198645,Lonchaeidae
198647,Silba adipata,198646,Silba,198645,Lonchaeidae
2882632,Phorbia fascicularis,1993534,Phorbia,30062,Anthomyiidae
2163048,Phorbia genitalis,1993534,Phorbia,30062,Anthomyiidae
2328017,Egle sp. JWDCD143-10,411076,Egle,30062,Anthomyiidae
2328016,Egle sp. JWDCD134-10,411076,Egle,30062,Anthomyiidae
1725454,Egle groenlandica,411076,Egle,30062,Anthomyiidae
2881697,Chirosia cinerosa,392044,Chirosia,30062,Anthomyiidae
392045,Chirosia flavipennis,392044,Chirosia,30062,Anthomyiidae
670583,Anthomyia liturata,259845,Anthomyia,30062,Anthomyiidae
259847,Anthomyia procellaris,259845,Anthomyia,30062,Anthomyiidae
1486947,Anthomyia sp. SGS-2014,259845,Anthomyia,30062,Anthomyiidae
2758984,Anthomyia xanthopyga,259845,Anthomyia,30062,Anthomyiidae
2758983,Anthomyia pluripunctata,259845,Anthomyia,30062,Anthomyiidae
1151013,Anthomyia illocata,259845,Anthomyia,30062,Anthomyiidae
129257,Chiastocheta trollii,129251,Chiastocheta,30062,Anthomyiidae
129256,Chiastocheta setifera,129251,Chiastocheta,30062,Anthomyiidae
129252,Chiastocheta dentifera,129251,Chiastocheta,30062,Anthomyiidae
2329955,Lasiomma sp. JWDCB064-10,95464,Lasiomma,30062,Anthomyiidae
2329952,Lasiomma sp. BBDED547-10,95464,Lasiomma,30062,Anthomyiidae
2329951,Lasiomma sp. BBDED266-10,95464,Lasiomma,30062,Anthomyiidae
2758996,Delia sanctijacobi,30063,Delia,30062,Anthomyiidae
1423837,Delia nigribasis,30063,Delia,30062,Anthomyiidae
265456,Delia antiqua,30063,Delia,30062,Anthomyiidae
129250,Delia brassica,30063,Delia,30062,Anthomyiidae
81723,Delia platura,30063,Delia,30062,Anthomyiidae
30064,Delia radicum,30063,Delia,30062,Anthomyiidae
1887309,Pegohylemyia sp. BOLD-2016,1887308,Pegohylemyia,30062,Anthomyiidae
696256,Paregle audacula,559693,Paregle,30062,Anthomyiidae
1949985,Paregle sp. UAM Ento 152056,559693,Paregle,30062,Anthomyiidae
559694,Paregle coerulescens,559693,Paregle,30062,Anthomyiidae
559651,Hylemya variata,253328,Hylemya,30062,Anthomyiidae
559650,Hylemya vagans,253328,Hylemya,30062,Anthomyiidae
2329358,Hylemya sp. BBDCQ039-10,253328,Hylemya,30062,Anthomyiidae
2659400,Hylemya sp. BOLD:ADQ9159,253328,Hylemya,30062,Anthomyiidae
2336977,Fucellia nr. ariciiformis JWDCA374-10,205683,Fucellia,30062,Anthomyiidae
2336976,Fucellia nr. ariciiformis JWDCA604-10,205683,Fucellia,30062,Anthomyiidae
1663095,Fucellia tergina,205683,Fucellia,30062,Anthomyiidae
1692455,Alliopsis silvestris,1692454,Alliopsis,30062,Anthomyiidae
1890538,Alliopsis fractiseta,1692454,Alliopsis,30062,Anthomyiidae
2758991,Pegomya poeciloptera,559697,Pegomya,30062,Anthomyiidae
2332891,Pegomya sp. BBDED557-10,559697,Pegomya,30062,Anthomyiidae
2332890,Pegomya sp. BBDEC857-09,559697,Pegomya,30062,Anthomyiidae
2332889,Pegomya sp. BBDEC796-09,559697,Pegomya,30062,Anthomyiidae
2583302,Amenia sp. KM15,2086281,Amenia,7371,Calliphoridae
2500844,Amenia sp. T33,2086281,Amenia,7371,Calliphoridae
2173225,Amenia leonina,2086281,Amenia,7371,Calliphoridae
92529,Chonocephalus heymonsi,92528,Chonocephalus,36164,Phoridae
1240434,Hemigymnochaeta unicolor,1240433,Hemigymnochaeta,7371,Calliphoridae
226132,Cordylobia anthropophaga,226131,Cordylobia,7371,Calliphoridae
