family,genus,Habitat,habitat_cat1,habitat_cat2,source,species notes,updated_genus,Open Tree Taxonomy Family,Family matches,Open Tree Taxonomy ID,NCBI ID
Acroceridae,Acletoxenus,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Acletoxenus,Drosophilidae,FALSE,302184,462271
Acroceridae,Acrocera,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Acrocera,Acroceridae,TRUE,862185,210245
Acroceridae,Astomella,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Astomella,Acroceridae,TRUE,287591,210239
Acroceridae,Eulonchus,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Eulonchus,Acroceridae,TRUE,287594,210230
Acroceridae,Exetasis,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Exetasis,Acroceridae,TRUE,4331144,1932988
Acroceridae,Exetasis,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Exetasis,Acroceridae,TRUE,4331144,1932988
Acroceridae,Ocnaea,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Ocnaea,Acroceridae,TRUE,386850,210271
Acroceridae,Ogcodes,endopar,endo,internal,wiegmannEpisodicRadiationsFly2011,,Ogcodes,Acroceridae,TRUE,171537,188257
Agromyzidae,Agromyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Agromyza,Agromyzidae,TRUE,542775,414290
Agromyzidae,Calcycomyza,miner,miner,plant,spencerRevisionaryStudyLeafMining1980,,Calycomyza,Agromyzidae,TRUE,542774,414293
Agromyzidae,Calycomyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Calycomyza,Agromyzidae,TRUE,542774,414293
Agromyzidae,Cerodontha,miner,miner,plant,singhAgromyzidaeIndia1973,,Cerodontha,Agromyzidae,TRUE,587947,127401
Agromyzidae,Japanagromyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Japanagromyza,Agromyzidae,TRUE,1074345,414298
Agromyzidae,Liriomyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Liriomyza,Agromyzidae,TRUE,587945,127403
Agromyzidae,Melanagromyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Melanagromyza,Agromyzidae,TRUE,230912,286470
Agromyzidae,Napomyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Napomyza,Agromyzidae,TRUE,195838,414300
Agromyzidae,Ophiomyia,miner,miner,plant,spencerRevisionaryStudyLeafMining1980,,Ophiomyia,Agromyzidae,TRUE,62156,341050
Agromyzidae,Phytagromyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Phytagromyza,Agromyzidae,TRUE,73080,414246
